key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K6,Bytes | Outbound Interface | Source Port | Technology of app,12,42,True,True,1048576,834263,0.7956151962280273,214313,747659,0.8961910093100137,747659,0.7130231857299805,22,193,40,3.814697265625e-05,0.9999618530273438,1.0,2.0,2.0,4732
K7,Bytes | Outbound Interface | Risk of app | Source Port,12,42,True,True,1048576,835022,0.7963390350341797,213554,748819,0.8967655941999133,748819,0.7141294479370117,20,162,33,3.147125244140625e-05,0.9999685287475586,1.0,2.0,2.0,4732
K1,Application | Bytes | Outbound Interface | Source Port,13,42,True,True,1048576,835221,0.7965288162231445,213355,749217,0.8970284511524494,749217,0.7145090103149414,24,151,37,3.528594970703125e-05,0.999964714050293,1.0,2.0,2.0,4798
K2,Application | Bytes | Destination Country | Source Port,13,42,True,True,1048576,840263,0.8013372421264648,208313,756716,0.9005704166433605,756716,0.7216606140136719,10,41,13,1.239776611328125e-05,0.9999876022338867,1.0,1.0,2.0,4778
K3,Bytes | Destination Port | Outbound Interface | Source Port,13,42,True,True,1048576,936976,0.8935699462890625,111600,887210,0.9468865798056727,887210,0.8461093902587891,22,279,33,3.147125244140625e-05,0.9999685287475586,1.0,1.0,2.0,2276
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,13,42,True,True,1048576,834781,0.7961091995239258,213795,748543,0.896693863420466,748543,0.7138662338256836,26,156,39,3.719329833984375e-05,0.9999628067016602,1.0,2.0,2.0,4798
K5,Bytes | Category of app | Outbound Interface | Source Port,13,42,True,True,1048576,834659,0.7959928512573242,213917,748346,0.8965889063677502,748346,0.7136783599853516,36,218,52,4.9591064453125e-05,0.9999504089355469,1.0,2.0,2.0,4798
K6,Bytes | Outbound Interface | Source Port | Technology of app,13,42,True,True,1048576,834260,0.7956123352050781,214316,747751,0.8963045093855633,747751,0.7131109237670898,29,204,48,4.57763671875e-05,0.9999542236328125,1.0,2.0,2.0,4798
K7,Bytes | Outbound Interface | Risk of app | Source Port,13,42,True,True,1048576,835066,0.7963809967041016,213510,748987,0.8969195249237785,748987,0.714289665222168,26,156,39,3.719329833984375e-05,0.9999628067016602,1.0,2.0,2.0,4798
K1,Application | Bytes | Outbound Interface | Source Port,14,42,True,True,1048576,835258,0.7965641021728516,213318,748855,0.8965553158425301,748855,0.7141637802124023,20,158,37,3.528594970703125e-05,0.999964714050293,1.0,2.0,2.0,4679
